track_id,track_name,artist_name,danceability,energy,tempo,valence
6wos8Ds5FKMe33GjBHRake,No Hay Nadie Más,Sebastian Yatra,0.684,0.378,105.015,0.771
1d7q712nXjG98HiwHk7HFS,a p p l y i n g . p r e s s u r e,J. Cole,0.699,0.759,83.092,0.404
1Qg9jWGDkKAGZXj5v2OG59,Wait,Maroon 5,0.659,0.604,126.135,0.407
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",0.794,0.811,116.047,0.862
3pdQTWpq09XCBosbTtYIiZ,Winter Wonderland - Remastered,Bing Crosby,0.589,0.232,126.626,0.53
2ICse7t8MB60EFk6o9aUyw,Who's Laughing Now,Ava Max,0.648,0.641,184.021,0.505
4SnlSaLJJ7reJMCHM5YUuX,Lotus,Lil Uzi Vert,0.802,0.748,150.063,0.516
6NJfIydBMYrXvlaXsFxmc8,Ain't It Different (feat. AJ Tracey & Stormzy),"Headie One, AJ Tracey, Stormzy",0.767,0.569,77.052,0.524
1jIMjbzcGCcCQn5iMu9CUc,That's Hilarious,Charlie Puth,0.714,0.442,108.039,0.546
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,0.735,0.369,140.004,0.235
69b0SDYOymaqYwm3la237H,Ye vs. the People (starring TI as the People),Kanye West,0.464,0.822,79.973,0.722
0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),"Cardi B, 21 Savage",0.908,0.524,138.015,0.109
4sPmO7WMQUAf45kwMOtONw,Hello,Adele,0.481,0.451,157.966,0.289
3uB8KqnEoQq5bTQ1JFHJ7Y,ROMEO & JULIET,"Loredana, Mozzik",0.644,0.68,125.465,0.683
4Q3N4Ct4zCuIHuZ65E3BD4,Tunnel Vision,Kodak Black,0.497,0.489,171.853,0.231
69xohKu8C1fsflYAiSNbwM,Run BTS,BTS,0.724,0.818,77.004,0.696
6GsD646HrIDJJpzoY9T1Rt,Unfollow,"Duki, Justin Quiles, Bizarrap",0.818,0.648,92.019,0.713
2c6xRsQBv7pynuhYhWoHxo,Woman Like Me,Adele,0.594,0.37,145.601,0.329
2EhJijFUs0WUmNClDBpYJq,Make It Back,Juice WRLD,0.75,0.387,143.019,0.739
6SFStUDQZNaGPKWOx9ZiJB,2002,Anne-Marie,0.697,0.683,96.133,0.603
6AFIVhbJLR7YVvW9fLFMu1,Huracan,"Samra, Capital Bra",0.681,0.701,170.072,0.518
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,0.324,0.416,113.986,0.151
6rQSrBHf7HlZjtcMZ4S4bO,Safari,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",0.508,0.687,180.044,0.555
0OgGn1ofaj55l2PcihQQGV,Drew Barrymore,Bryce Vine,0.758,0.574,151.985,0.261
